City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Farafangana,MG,-22.8167,47.8333,73.63,84,18,8.23,light rain
81,Dingle,PH,10.9995,122.6711,78.26,90,26,2.1,light rain
82,Salalah,OM,17.0151,54.0924,86.09,70,20,12.66,few clouds
83,Ewa Beach,US,21.3156,-158.0072,76.98,71,1,5.01,clear sky
84,Jalgaon,IN,21.0167,75.5667,90.0,45,46,11.68,scattered clouds
85,Lebu,CL,-37.6167,-73.65,56.82,97,100,9.55,overcast clouds
86,Lorengau,PG,-2.0226,147.2712,79.5,78,100,2.33,overcast clouds
87,Hermanus,ZA,-34.4187,19.2345,66.79,61,1,11.72,clear sky
88,Kununurra,AU,-15.7667,128.7333,69.78,78,6,3.44,clear sky
89,Morbach,DE,49.8167,7.1167,76.05,68,40,4.9,light rain
90,Kodiak,US,57.79,-152.4072,45.91,87,90,0.0,light rain
91,Arrecife,ES,28.963,-13.5477,75.27,60,75,23.02,broken clouds
92,Keita,NE,14.7551,5.7749,105.8,10,2,3.13,clear sky
93,Nelson Bay,AU,-32.7167,152.15,57.78,95,63,1.01,broken clouds
94,Pevek,RU,69.7008,170.3133,27.68,81,11,4.14,few clouds
95,Roma,US,43.2128,-75.4557,68.95,92,90,8.05,overcast clouds
96,Lagoa,PT,39.05,-27.9833,60.67,67,99,10.47,overcast clouds
97,Bafq,IR,31.6128,55.4107,108.14,5,0,3.11,clear sky
98,Chokurdakh,RU,70.6333,147.9167,63.84,28,100,14.18,overcast clouds
99,Touba,CI,8.2833,-7.6833,95.2,34,100,5.75,overcast clouds
100,Luanda,AO,-8.8368,13.2343,82.4,74,20,9.22,few clouds
101,Ciudad Bolivar,VE,8.1222,-63.5497,85.57,57,100,8.32,overcast clouds
102,Iztapa,GT,13.9333,-90.7075,77.05,100,90,0.72,overcast clouds
103,Beira,MZ,-19.8436,34.8389,75.29,78,40,8.01,scattered clouds
104,Lagoa Vermelha,BR,-28.2086,-51.5258,63.09,78,21,2.48,few clouds
105,Tasiilaq,GL,65.6145,-37.6368,36.99,76,77,4.23,broken clouds
106,Jashpurnagar,IN,22.9,84.15,83.39,49,99,2.15,overcast clouds
107,Pisco,PE,-13.7,-76.2167,64.45,77,90,4.61,overcast clouds
108,Gulbene,LV,57.1777,26.7529,64.6,59,100,5.23,overcast clouds
109,Port Macquarie,AU,-31.4333,152.9167,53.56,100,40,0.0,scattered clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,73.54,89,96,4.0,overcast clouds
111,Ketchikan,US,55.3422,-131.6461,48.67,87,90,6.91,overcast clouds
112,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,85.03,46,27,7.47,scattered clouds
113,Cape Town,ZA,-33.9258,18.4232,72.1,45,0,1.99,clear sky
114,Kavieng,PG,-2.5744,150.7967,81.77,79,100,4.61,light rain
115,Kaitangata,NZ,-46.2817,169.8464,46.92,77,100,4.25,overcast clouds
116,Isangel,VU,-19.55,169.2667,71.13,73,28,6.78,scattered clouds
117,Hilo,US,19.7297,-155.09,72.81,83,90,6.91,overcast clouds
118,Ipanema,BR,-30.1391,-51.2244,63.27,91,40,3.15,mist
119,Usinsk,RU,65.9939,57.5281,52.14,51,96,13.73,overcast clouds
120,Muros,ES,42.7762,-9.0603,69.15,51,12,19.3,few clouds
121,Mahebourg,MU,-20.4081,57.7,77.29,69,75,13.8,broken clouds
122,Klaksvik,FO,62.2266,-6.589,56.32,92,95,18.19,overcast clouds
123,Khingansk,RU,49.1167,131.1833,47.59,96,100,8.72,moderate rain
124,Vanimo,PG,-2.6741,141.3028,78.64,85,85,1.1,overcast clouds
125,Yola,NG,9.2,12.4833,105.22,23,40,4.07,scattered clouds
126,Deputatskiy,RU,69.3,139.9,56.5,53,100,3.04,overcast clouds
127,Viedma,AR,-40.8135,-62.9967,46.65,81,100,9.46,overcast clouds
128,Arlit,NE,18.7369,7.3853,111.81,4,3,5.95,clear sky
129,Bethel,US,41.3712,-73.414,65.3,89,90,5.75,light rain
130,Rosh Pinna,IL,32.9689,35.5426,74.61,31,0,12.37,clear sky
131,Sadiqabad,PK,28.3062,70.1307,104.25,20,62,2.13,broken clouds
132,Ancud,CL,-41.8697,-73.8203,55.22,92,100,22.75,light rain
133,Villaviciosa,ES,43.4813,-5.4357,60.01,82,100,2.98,overcast clouds
134,Maldonado,UY,-34.6667,-54.9167,55.22,62,69,5.21,broken clouds
135,Olafsvik,IS,64.8945,-23.7142,46.11,76,100,13.13,light rain
136,Altamira,BR,-3.2033,-52.2064,84.29,79,75,5.75,broken clouds
137,Cockburn Town,TC,21.4612,-71.1419,79.48,78,73,19.1,broken clouds
138,Flinders,AU,-34.5833,150.8552,56.17,93,100,1.01,overcast clouds
139,Bengkulu,ID,-3.8004,102.2655,81.01,81,91,3.31,overcast clouds
