City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cape Town,ZA,2021-05-31 21:03:38,-33.9258,18.4232,57.34,88,33,1.01
67,Bredasdorp,ZA,2021-05-31 21:03:38,-34.5322,20.0403,54.28,89,3,7.54
68,Qaanaaq,GL,2021-05-31 21:03:39,77.484,-69.3632,33.53,87,100,1.21
69,Uige,AO,2021-05-31 21:03:39,-7.6087,15.0613,68.61,51,3,3.33
70,Airai,TL,2021-05-31 21:03:40,-8.9266,125.4092,57.27,93,100,1.9
71,Bonavista,CA,2021-05-31 21:03:40,48.6499,-53.1147,50.56,57,100,13.82
72,Port Alfred,ZA,2021-05-31 21:03:40,-33.5906,26.891,60.26,81,97,11.99
73,Hilo,US,2021-05-31 20:59:31,19.7297,-155.09,91.27,90,12,5.99
74,Pevek,RU,2021-05-31 21:03:41,69.7008,170.3133,39.34,71,3,2.21
75,Kankon,IN,2021-05-31 21:03:42,15.0167,74.0167,80.4,81,36,5.41
76,Upernavik,GL,2021-05-31 21:03:42,72.7868,-56.1549,31.3,90,100,3.04
77,Hasaki,JP,2021-05-31 21:03:42,35.7333,140.8333,63.28,80,99,11.32
78,Victoria,HK,2021-05-31 20:59:09,22.2855,114.1577,81.32,94,100,1.01
79,Severo-Kurilsk,RU,2021-05-31 21:03:43,50.6789,156.125,37.65,98,100,23.4
80,Bethel,US,2021-05-31 21:03:43,41.3712,-73.414,67.95,68,66,3.0
81,Punta Arenas,CL,2021-05-31 21:03:22,-53.15,-70.9167,35.11,69,100,5.28
82,Gunnedah,AU,2021-05-31 20:59:34,-30.9833,150.25,41.72,79,41,1.99
83,East London,ZA,2021-05-31 21:03:44,-33.0153,27.9116,61.11,76,70,7.58
84,Leningradskiy,RU,2021-05-31 21:03:44,69.3833,178.4167,32.05,88,89,13.09
85,Teacapan,MX,2021-05-31 21:03:45,22.55,-105.75,88.3,44,26,11.1
86,Nogales,MX,2021-05-31 21:00:17,31.3086,-110.9422,91.18,9,0,12.28
87,Muros,ES,2021-05-31 20:59:16,42.7762,-9.0603,66.7,90,71,1.32
88,Ancud,CL,2021-05-31 21:03:46,-41.8697,-73.8203,59.43,98,100,14.61
89,Tasiilaq,GL,2021-05-31 21:03:46,65.6145,-37.6368,39.36,81,94,5.77
90,Dingle,PH,2021-05-31 21:03:46,10.9995,122.6711,77.7,87,100,1.48
91,Kedrovyy,RU,2021-05-31 21:03:47,56.1667,91.8167,34.21,83,53,4.81
92,Port Hardy,CA,2021-05-31 21:00:00,50.6996,-127.4199,60.98,77,90,5.75
93,Khatanga,RU,2021-05-31 21:03:48,71.9667,102.5,34.34,88,80,13.22
94,Saldanha,ZA,2021-05-31 21:03:48,-33.0117,17.9442,57.94,81,27,4.5
95,Port Macquarie,AU,2021-05-31 21:03:49,-31.4333,152.9167,47.37,89,80,3.83
96,Russkaya Polyana,UA,2021-05-31 21:03:49,49.417,31.9201,49.48,75,100,12.08
97,Nioro,GM,2021-05-31 21:03:49,13.35,-15.75,79.86,58,96,12.26
98,Abu Zabad,SD,2021-05-31 21:02:26,12.35,29.25,89.46,31,21,5.46
99,Bubaque,GW,2021-05-31 21:03:50,11.2833,-15.8333,78.28,80,100,9.82
100,Malakal,SS,2021-05-31 21:03:50,9.5334,31.6605,89.28,37,24,4.97
101,Lompoc,US,2021-05-31 21:03:50,34.6391,-120.4579,77.11,71,20,3.0
102,Bilibino,RU,2021-05-31 20:59:33,68.0546,166.4372,55.8,40,32,1.86
103,Victoria Falls,ZW,2021-05-31 21:03:51,-17.9235,25.843,59.13,44,100,2.39
104,Hobart,AU,2021-05-31 21:03:51,-42.8794,147.3294,51.06,68,0,8.01
105,Maldonado,UY,2021-05-31 21:00:27,-34.6667,-54.9167,57.22,70,57,11.18
106,Sitka,US,2021-05-31 21:03:52,57.0531,-135.33,54.75,89,100,3.85
107,Saskylakh,RU,2021-05-31 21:03:52,71.9167,114.0833,45.81,87,100,10.78
108,Jawhar,SO,2021-05-31 21:03:53,2.7809,45.5005,75.87,85,84,11.97
109,Edson,CA,2021-05-31 20:59:52,53.5835,-116.4356,71.74,33,75,4.61
110,Lebu,CL,2021-05-31 21:03:53,-37.6167,-73.65,56.93,99,100,11.48
111,Diamantino,BR,2021-05-31 20:59:50,-14.4086,-56.4461,80.37,51,45,4.72
112,Iqaluit,CA,2021-05-31 21:03:54,63.7506,-68.5145,31.73,86,90,4.0
113,Saint-Philippe,RE,2021-05-31 21:03:54,-21.3585,55.7679,71.15,78,24,7.34
114,Luanda,AO,2021-05-31 21:03:36,-8.8368,13.2343,77.0,88,75,4.61
115,Erenhot,CN,2021-05-31 21:03:55,43.6475,111.9767,48.13,47,100,2.86
116,Bom Jardim,BR,2021-05-31 21:03:55,-7.7958,-35.5872,72.46,87,12,7.99
117,San Andres,CO,2021-05-31 21:03:56,12.5847,-81.7006,82.22,75,10,15.75
118,Castro,BR,2021-05-31 21:01:01,-24.7911,-50.0119,56.75,98,100,2.62
119,Barrow,US,2021-05-31 21:00:54,71.2906,-156.7887,31.3,83,100,12.57
120,Bandarbeyla,SO,2021-05-31 21:03:57,9.4942,50.8122,79.27,83,100,24.99
121,Aden,YE,2021-05-31 21:00:38,12.7794,45.0367,88.52,60,12,5.5
122,Severo-Yeniseyskiy,RU,2021-05-31 21:03:57,60.3725,93.0408,43.88,69,61,6.6
123,Bluff,NZ,2021-05-31 21:03:57,-46.6,168.3333,46.31,77,93,10.29
124,Masallatah,LY,2021-05-31 21:03:58,32.6167,14.0,68.92,64,50,6.69
125,Tutoia,BR,2021-05-31 21:03:58,-2.7619,-42.2744,79.72,77,15,6.87
126,Tamala,RU,2021-05-31 21:03:59,52.541,43.2515,47.28,87,100,8.66
127,Fayetteville,US,2021-05-31 21:00:13,35.0527,-78.8784,79.72,48,55,4.0
128,Gornopravdinsk,RU,2021-05-31 21:03:59,60.05,69.9,37.67,97,58,4.76
129,Jos,NG,2021-05-31 21:04:00,9.9167,8.9,75.15,35,79,4.36
130,Candiis,PH,2021-05-31 21:04:00,8.9703,125.1842,78.15,84,100,6.73
131,Sakakah,SA,2021-05-31 21:01:24,29.9697,40.2064,88.66,12,0,6.15
132,Byron Bay,AU,2021-05-31 21:04:01,-28.65,153.6167,58.95,90,74,8.01
133,Skibbereen,IE,2021-05-31 21:04:01,51.55,-9.2667,55.2,93,100,5.28
134,Palembang,ID,2021-05-31 21:04:02,-2.9167,104.7458,74.59,96,100,3.6
135,Arraial Do Cabo,BR,2021-05-31 21:04:02,-22.9661,-42.0278,71.46,94,75,2.3
136,Corinto,GR,2021-05-31 21:04:02,37.9407,22.9573,71.76,53,18,7.0
137,Isangel,VU,2021-05-31 21:04:03,-19.55,169.2667,73.04,60,21,11.88
138,Constitucion,CL,2021-05-31 21:04:03,-35.3333,-72.4167,60.3,88,79,6.78
139,Cuamba,MZ,2021-05-31 21:02:12,-14.8031,36.5372,70.41,64,100,1.45
140,Udachnyy,RU,2021-05-31 21:04:04,66.4167,112.4,55.35,52,100,5.7
141,Thaba-Tseka,LS,2021-05-31 21:04:04,-29.522,28.6084,36.91,56,85,3.24
142,Port Blair,IN,2021-05-31 21:04:05,11.6667,92.75,82.0,81,8,4.81
143,Hondagua,PH,2021-05-31 21:04:05,13.9469,122.2431,77.74,91,100,3.98
144,Moron,AR,2021-05-31 21:04:06,-34.6534,-58.6198,58.06,67,100,5.7
145,Bodegraven,NL,2021-05-31 21:04:06,52.0825,4.75,64.98,76,0,3.0
146,Aksu,CN,2021-05-31 21:04:06,41.1231,80.2644,71.6,38,90,10.47
147,Nanortalik,GL,2021-05-31 21:04:07,60.1432,-45.2371,39.2,86,43,12.41
